n,c,m,p,k,bestFI,avgFI,avgTimeFI,avgNumGenerationsFI,avgFirstFeasibleGenerationFI,avgBestSolutionGenerationFI,avgBestSolutionTimeFI,bestILP,avgILP,avgTimeILP,avgNumGenerationsILP,avgFirstFeasibleGenerationILP,avgBestSolutionGenerationILP,avgBestSolutionTimeILP
30,3,2,0,1,6,6.0,1.4392515,100.0,1.0,1.0,0.017019600000000003,6,6.0,31.9188291,100.0,1.0,1.1,0.1075187
30,3,2,0,2,9,9.0,1.5277934,100.0,0.9,2.2,0.03573330000000001,9,9.0,6.322516599999999,100.0,0.8,1.7,0.1692241
30,3,2,30,1,6,6.0,1.6629166999999998,100.0,0.9,1.4,0.024482899999999995,6,6.0,26.4427008,100.0,1.0,1.6,0.16925089999999998
30,3,2,30,2,8,8.0,1.6557988000000001,100.0,0.8,1.8,0.030987300000000002,8,8.0,5.8879055000000005,100.0,0.8,1.5,0.1596033
30,3,5,0,1,6,6.0,3.1422349,100.0,1.0,1.1,0.044615400000000006,6,6.0,28.0208487,100.0,1.1,1.4,0.1881675
30,3,5,0,3,10,10.0,2.4885235999999997,100.0,0.9,6.6,0.17992560000000002,10,10.0,51.7904044,100.0,1.7,3.1,0.4052506
30,3,5,0,5,12,12.0,2.6867793,100.0,0.7,1.1,0.036232600000000004,12,12.0,9.2261523,100.0,0.7,1.1,0.13531849999999998
30,3,5,30,1,6,6.0,2.7294185000000004,100.0,1.0,1.0,0.0341264,6,6.0,54.0675472,100.0,1.0,1.1,0.1402213
30,3,5,30,3,8,8.3,2.9115592999999995,100.0,1.0,4.3,0.134771,8,8.0,41.831792400000005,100.0,1.0,10.9,2.7417535
30,3,5,30,5,12,12.0,2.5777687000000005,100.0,1.2,1.8,0.055761499999999985,12,12.0,26.6105026,100.0,1.1,1.6,0.1724428
30,3,10,0,1,6,6.0,4.7468737,100.0,1.0,1.0,0.0561813,6,6.0,59.06102639999999,100.0,0.9,1.0,0.20448080000000002
30,3,10,0,5,10,10.0,4.0966364,100.0,0.9,3.6,0.15057550000000003,10,10.0,118.11026479999998,100.0,1.0,3.7,0.9321829000000001
30,3,10,0,10,13,13.0,4.0350451000000005,100.0,1.1,2.4,0.10244829999999998,13,13.0,15.5167652,100.0,0.7,2.1,0.29911980000000005
30,3,10,30,1,6,6.0,4.704003,100.0,1.0,1.1,0.0625375,6,6.0,112.8364943,100.0,1.0,1.0,0.19562079999999998
30,3,10,30,5,11,11.2,3.8505857000000008,100.0,1.0,27.6,1.0400368,11,11.0,138.9031974,100.0,2.2,10.3,5.472936600000001
30,3,10,30,10,14,14.0,3.1871879,100.0,1.2,4.6,0.15467430000000001,14,14.0,27.6667282,100.0,1.1,7.6,1.0229702
100,10,2,0,1,21,21.0,5.9825366,100.0,1.0,5.2,0.3395886,21,21.0,97.2987059,100.0,0.9,5.4,1.2100522000000002
100,10,2,0,2,29,29.2,5.0795769,100.0,3.2,15.0,0.8060549,29,29.0,123.01820100000002,100.0,2.1,9.1,1.9111372000000002
