n,m,k,bestFI,avgFI,avgTimeFI,avgNumGenerationsFI,avgFirstFeasibleGenerationFI,avgBestSolutionGenerationFI,avgBestSolutionTimeFI,bestILP,avgILP,avgTimeILP,avgNumGenerationsILP,avgFirstFeasibleGenerationILP,avgBestSolutionGenerationILP,avgBestSolutionTimeILP
30,2,1,9,9.0,1.1454459,100.0,0.9,2.0,0.0240643,9,9.0,15.0618012,100.0,0.9,1.6,0.12211069999999999
30,2,2,13,13.0,1.3415361000000001,100.0,0.5,2.7,0.0367295,13,13.0,17.3850226,100.0,1.3,5.4,0.5288843000000001
30,5,1,9,9.0,2.6135279999999996,100.0,1.0,3.1,0.0899453,9,9.0,86.04913880000001,100.0,1.0,3.5,0.4821394
30,5,3,13,13.0,2.6069903,100.0,1.1,8.2,0.22168929999999998,13,13.0,67.3386895,100.0,1.3,5.5,0.8210013
30,5,5,17,17.0,2.6752559000000002,100.0,1.9,3.3,0.0841309,17,17.0,40.8866314,100.0,2.1,3.6,0.43024070000000003
30,10,1,9,9.0,4.3690767,100.0,0.9,3.3,0.14705200000000002,9,9.0,183.18824010000003,100.0,1.5,3.2,0.5490226
30,10,5,16,16.3,3.8738327999999997,100.0,0.8,10.7,0.4274458,16,16.0,230.11434279999997,100.0,3.0,13.3,17.8882585
30,10,10,22,22.0,4.715694,100.0,4.9,10.2,0.48922599999999994,22,22.0,60.4630579,100.0,2.5,8.4,1.7753846999999996
100,2,1,26,27.1,5.5224408,100.0,2.1,17.0,0.9977639,26,26.0,932.9542754999999,100.0,1.1,42.9,71.37739570000001
100,2,2,34,35.3,5.8253256,100.0,7.2,52.2,3.0498993,34,34.0,3778.6601002,86.2,9.4,47.5,80.1153145
100,5,1,25,25.8,11.259851999999999,100.0,4.1,24.6,2.8670971,25,25.0,1604.5466523999999,100.0,1.8,60.3,450.60061419999994
100,5,3,39,41.1,11.6847783,100.0,23.9,55.3,6.4328598,39,39.4,3795.062027,74.2,23.6,56.6,773.1133347000001
100,5,5,49,50.8,10.0455805,100.0,24.1,43.0,4.2812308,47,47.5,3757.7019322,73.5,11.1,64.4,1365.5615236
100,10,1,25,25.8,22.3087512,100.0,2.9,26.4,5.9798907,25,25.0,3696.5120801999997,82.7,4.5,42.5,374.9717059999999
100,10,5,45,47.1,18.899108700000003,100.0,6.6,46.9,8.584357,45,45.5,3723.5347783000007,60.6,5.1,46.8,843.9960113
100,10,10,56,58.1,21.8363135,100.0,21.8,62.4,14.3961828,56,56.7,3827.1270734,66.7,27.8,55.5,959.2680850999999
1000,2,1,253,258.1,178.4028265,100.0,0.2,62.1,113.21367300000001,232,235.3,3827.9401868,41.7,0.5,36.5,2120.6730174000004
1000,2,2,328,333.9,157.732226,100.0,0.0,73.9,118.70070019999999,310,314.6,3785.0913869999995,36.7,0.1,32.2,2255.5380405
1000,5,1,251,254.7,382.7397296,100.0,0.4,59.4,230.1511069,233,235.8,3806.8511107,40.8,0.3,36.5,2424.8727355
1000,5,3,375,379.0,381.18083509999997,100.0,0.0,73.1,275.5810208,358,361.9,3790.6994871,34.5,0.1,30.1,2325.6317748
1000,5,5,435,439.2,358.2148724,100.0,0.0,73.3,260.71221290000005,422,425.5,3823.5223558,32.5,0.0,27.0,1973.9948906999998
1000,10,1,245,252.1,743.3963793,100.0,0.5,68.8,506.358595,233,237.0,3871.2438374999997,36.7,0.4,34.1,2905.2673256000003
1000,10,5,433,438.6,790.6321925,100.0,0.0,62.5,502.5342511999999,421,425.7,3756.6385133000003,31.8,0.0,27.4,2336.9159744
1000,10,10,526,528.4,744.2373685999999,100.0,0.0,70.3,522.311361,511,514.7,3788.0593253000006,30.3,0.0,24.6,1824.5158239999996
5000,2,1,1228,1232.6,3038.5166804,100.0,0.0,58.9,1771.4326737000004,1148,1156.6,3772.7429835999997,28.0,0.0,24.2,2425.7673649
5000,2,2,1536,1544.6,2768.2741788000003,100.0,0.0,59.1,1648.2913574999998,1477,1490.8,3836.7101945000004,26.1,0.0,22.3,2554.4900573
5000,5,1,1214,1226.8,3636.9271156000004,51.9,0.1,42.0,2939.1069787999995,1154,1160.7,3839.4861443,25.0,0.0,23.7,3290.6469591
5000,5,3,1734,1744.6,3633.7413841000002,57.3,0.0,37.1,2346.7583299,1671,1686.7,3765.3458552,22.2,0.0,20.1,2968.6096175
5000,5,5,1978,1996.9,3631.0782522,71.0,0.0,29.5,1524.1852474000002,1932,1945.5,3760.2605629,22.2,0.0,20.1,2992.7055388
5000,10,1,1220,1232.5,3697.5849278,25.4,0.0,18.0,2630.3951774,1175,1187.1,3708.5407564999996,18.8,0.0,18.4,3622.7829692
5000,10,5,1983,1998.2,3672.0171778000004,27.7,0.0,20.7,2740.3685051999996,1939,1951.3,3789.9080999000007,17.2,0.0,16.0,3252.7890321
5000,10,10,2341,2350.5,3654.6980488999993,33.5,0.0,22.2,2435.6319504,2296,2306.9,3923.5027638,17.7,0.0,16.3,3225.5897562000005
10000,2,1,2363,2383.7,3652.3426403999997,32.7,0.0,24.4,2736.2428103999996,2257,2271.7,3805.5830158999997,19.4,0.0,18.8,3548.9416840000004
10000,2,2,2970,2982.5,3651.1395105999995,32.1,0.0,23.1,2648.9088266999997,2879,2889.9,3802.1608555,18.0,0.0,16.9,3348.0227538999998
10000,5,1,2368,2386.2,3766.9214096000005,14.1,0.0,11.0,2959.3396083,2322,2339.0,3777.9565482999997,10.5,0.0,10.2,3667.2087457000002
10000,5,3,3339,3347.9,3784.8534602999994,14.0,0.0,10.7,2918.6084297,3270,3296.8,3715.9993035000007,10.1,0.0,9.2,3378.5597924999993
10000,5,5,3799,3817.0,3668.3926844000007,15.4,0.0,13.1,3113.2903625,3747,3766.9,3789.3002635000003,11.2,0.0,10.3,3429.8849166
10000,10,1,2396,2416.8,3838.6680258,7.1,0.0,6.6,3579.6319133000006,2400,2416.6,3779.1673409999994,5.0,0.0,4.7,3557.9366419
10000,10,5,3837,3846.0,3807.3616609000005,7.0,0.0,6.1,3347.4858164999996,3802,3828.2,3821.6463474,5.2,0.0,5.2,3821.6463474
10000,10,10,4488,4498.1,3819.6337174,7.8,0.0,5.8,2918.3300004,4460,4485.5,4022.2882151999997,5.7,0.0,5.3,3782.4876101
