n,m,K,New 1_gap,New 1_time,New 1_sol,New 2_gap,New 2_time,New 2_sol
30,2,1,0,0.0743373,9,0,0.118179,9
30,2,2,0,0.0660302,13,0,0.0842717,13
30,5,1,0,0.257975,9,0,0.323561,9
30,5,3,0,0.224303,13,0,0.265569,13
30,5,5,0,0.184952,17,0,0.244767,17
30,10,1,0,0.744051,9,0,0.642608,9
30,10,5,0,1.17924,16,0,1.3352,16
30,10,10,0,0.29743,22,0,0.298412,22
100,2,1,0,2.85691,26,0,1.25747,26
100,2,2,0,42.7356,34,0,36.6583,34
100,5,1,0,1.3065,25,0,2.76098,25
100,5,3,0.0602783,3602.73,39,0,3087.09,39
100,5,5,0.0744112,3602.02,47,0.0845408,3602.61,47
100,10,1,0,48.3242,25,0,10.0625,25
100,10,5,0.244488,3601.85,46,0.225931,3602.4,45
100,10,10,0.175628,3602.13,56,0.18728,3602.14,57
1000,2,1,0.281201,3600.08,202,0.273215,3600.12,200
1000,2,2,0.382707,3600.11,278,0.370347,3600.1,272
1000,5,1,0.304468,3600.32,205,0.287686,3600.07,200
1000,5,3,0.441921,3600.08,324,0.463979,3600.16,316
1000,5,5,0.464279,3600.09,377,0.461184,3600.08,375
1000,10,1,0.82177,3600.1,200,0.791376,3600.05,204
1000,10,5,0.679452,3600.06,391,0.676455,3600.11,390
1000,10,10,0.503018,3600.11,463,0.520668,3600.08,480
5000,2,1,0.677309,3600.79,1057,0.695712,3600.26,1121
5000,2,2,0.460705,3600.32,1265,0.616737,3600.95,1780
5000,5,1,1,3759.98,5000,1,3728.64,10000
5000,5,3,1,3759.04,5000,1,3719.51,10000
5000,5,5,1,3734.19,5000,1,3709.05,10000
5000,10,1,1,4052.55,5000,1,3910.15,10000
5000,10,5,1,3950.98,5000,1,3862.6,10000
5000,10,10,1,3906.87,5000,1,3809.62,10000
10000,2,1,1,3604.06,10000,1,3608.85,20000
10000,2,2,1,3603.19,10000,1,3607.72,20000
10000,5,1,1,4701.05,10000,1,3970.42,20000
10000,5,3,1,4648.84,10000,1,3899.38,20000
10000,5,5,1,4164.71,10000,1,3904.59,20000
10000,10,1,1,6045.61,10000,1,4457.1,20000
10000,10,5,1,5847.2,10000,1,4243.64,20000
10000,10,10,1,5446.24,10000,1,4255.79,20000
