n,m,K,New 1_gap,New 1_time,New 1_sol,New 2_gap,New 2_time,New 2_sol
2Layers,2,1,0.0300092,3600.47,223,0.0474616,3600.44,225
2Layers,2,2,0,9.92815,493,0,12.4616,493
3Layers,3,1,0.085321,3600.59,198,0.0763088,3600.39,196
3Layers,3,2,0,358.606,431,0,354.865,431
3Layers,3,3,0.00909524,3600.56,1688,0.0100831,3600.55,1690
4Layers,4,1,0.18585,3600.47,97,0.173976,3600.62,96
4Layers,4,2,0,1410.01,294,0,321.426,294
4Layers,4,3,0,27.2923,582,0,34.1656,582
4Layers,4,4,0.0132954,3600.55,1571,0.0139793,3600.51,1572
5Layers,5,1,0.169211,3600.38,87,0.17861,3600.46,88
5Layers,5,2,0.0351034,3600.44,203,0.0337783,3600.5,203
5Layers,5,3,0,31.8465,428,0,37.947,428
5Layers,5,4,0.0181653,3600.46,1201,0.0209154,3600.44,1204
5Layers,5,5,0.00383116,3600.46,1631,0.00331786,3600.67,1631
