n,m,K,clust,p,New 1_gap,New 1_time,New 1_sol,New 2_gap,New 2_time,New 2_sol
30,2,1,3,0,0,0.0326668,6,0,0.0385173,6
30,2,2,3,0,0,0.0290788,9,0,0.0287909,9
30,5,1,3,0,0,0.103682,6,0,0.111974,6
30,5,3,3,0,0,0.231699,10,0,0.21612,10
30,5,5,3,0,0,0.0381747,12,0,0.0871162,12
30,10,1,3,0,0,0.405137,6,0,0.967765,6
30,10,5,3,0,0,0.759126,10,0,0.67527,10
30,10,10,3,0,0,0.054854,13,0,0.112327,13
100,2,1,10,0,0,0.117883,21,0,0.266194,21
100,2,2,10,0,0,0.251033,29,0,0.38738,29
100,5,1,10,0,0,1.26596,20,0,1.95567,20
100,5,3,10,0,0,17.6917,31,0,21.617,31
100,5,5,10,0,0,2.99877,38,0,7.05724,38
100,10,1,10,0,0,2.01001,20,0,7.66341,20
100,10,5,10,0,0.0991674,3600.97,36,0,1596.61,36
100,10,10,10,0,0,1.62308,40,0,3.51965,40
1000,2,1,100,0,0.311862,3600.07,169,0.273523,3600.13,161
1000,2,2,100,0,0.344997,3600.12,200,0.344337,3600.11,199
1000,5,1,100,0,0.29787,3600.35,163,0.300853,3600.25,164
1000,5,3,100,0,0.394517,3600.09,224,0.471685,3600.14,224
1000,5,5,100,0,0.43224,3600.08,260,0.427569,3600.08,258
1000,10,1,100,0,0.788948,3600.06,168,0.596403,3600.24,168
1000,10,5,100,0,0.554886,3600.09,261,0.52917,3600.17,259
1000,10,10,100,0,0.491153,3600.1,313,0.493232,3600.09,315
5000,2,1,50,0,0.808511,3604.91,211,0.942932,3607.5,708
5000,2,2,50,0,1,3610.62,5000,1,3610.66,10000
5000,5,1,50,0,1,3963.93,5000,1,3965.84,10000
5000,5,3,50,0,1,4018.98,5000,1,3851.31,10000
5000,5,5,50,0,1,4015.03,5000,1,3941.84,10000
5000,10,1,50,0,1,4670.82,5000,1,4472.2,10000
5000,10,5,50,0,1,4507.84,5000,1,4096.63,10000
5000,10,10,50,0,1,3945.95,5000,1,4051.97,10000
10000,2,1,100,0,1,3635.06,10000,1,3626.34,20000
10000,2,2,100,0,1,3631.07,10000,1,3622.16,20000
10000,5,1,100,0,1,6145.33,10000,1,5213.35,20000
10000,5,3,100,0,1,5576.01,10000,1,4999.11,20000
10000,5,5,100,0,1,5034.06,10000,1,4730.02,20000
10000,10,1,100,0,1,9469.57,10000,1,7861.09,20000
10000,10,5,100,0,1,8735.76,10000,1,4702.76,20000
10000,10,10,100,0,1,5771.06,10000,1,4522.76,20000
30,2,1,3,30,0,0.0521008,6,0,0.125598,6
30,2,2,3,30,0,0.0279632,8,0,0.0463726,8
30,5,1,3,30,0,0.290448,6,0,0.201961,6
30,5,3,3,30,0,0.183447,8,0,0.196018,8
30,5,5,3,30,0,0.183752,12,0,0.280703,12
30,10,1,3,30,0,0.708951,6,0,0.847097,6
30,10,5,3,30,0,1.00016,11,0,3.17758,11
30,10,10,3,30,0,0.233155,14,0,0.299524,14
100,2,1,10,30,0,0.445773,22,0,0.565894,22
100,2,2,10,30,0,0.459556,29,0,1.60699,29
100,5,1,10,30,0,0.817484,20,0,2.38111,20
100,5,3,10,30,0,11.8255,30,0,14.086,30
100,5,5,10,30,0,73.2088,38,0,85.7037,38
100,10,1,10,30,0,1.6076,20,0,3.52607,20
100,10,5,10,30,0,2407.46,35,0,2168.25,35
100,10,10,10,30,0,3357.46,46,0,3193.1,46
1000,2,1,100,30,0.285835,3600.05,165,0.280871,3600.18,163
1000,2,2,100,30,0.364798,3600.1,209,0.360528,3600.15,207
1000,5,1,100,30,0.281686,3600.24,159,0.298732,3600.07,163
1000,5,3,100,30,0.43853,3600.14,243,0.467656,3600.12,243
1000,5,5,100,30,0.48547,3600.09,291,0.475508,3600.11,286
1000,10,1,100,30,0.859769,3600.08,159,0.750611,3600.15,159
1000,10,5,100,30,0.598994,3600.06,291,0.688252,3600.1,289
1000,10,10,100,30,0.528574,3600.15,345,0.547193,3600.11,361
5000,2,1,50,30,0.991885,3602.5,5000,0.995943,3600.59,10000
5000,2,2,50,30,1,3609.59,5000,1,3602.93,10000
5000,5,1,50,30,1,3957.56,5000,1,3929.33,10000
5000,5,3,50,30,1,3880.56,5000,1,3940.74,10000
5000,5,5,50,30,1,3941.91,5000,1,3922.33,10000
5000,10,1,50,30,1,4966.52,5000,1,4058.1,10000
5000,10,5,50,30,1,4875.75,5000,1,4090.34,10000
5000,10,10,50,30,1,4025.7,5000,1,4098.38,10000
10000,2,1,100,30,1,3626.77,10000,1,3624.95,20000
10000,2,2,100,30,1,3606.5,10000,1,3606.2,20000
10000,5,1,100,30,1,5814.4,10000,1,5159.12,20000
10000,5,3,100,30,1,5327.5,10000,1,3950.18,20000
10000,5,5,100,30,1,5492.99,10000,1,4025.11,20000
10000,10,1,100,30,1,8991.72,10000,1,6471.36,20000
10000,10,5,100,30,1,4543.88,10000,1,4624.63,20000
10000,10,10,100,30,1,5035.14,10000,1,4642.39,20000
