Instance,Layers,BEST_KNOWN,BEST_GREEDY,AVG_GREEDY,TIME_GREEDY,AVG_GREEDY_GAP,STD_GREEDY_GAP,BEST_VNS_LS1,AVG_VNS_LS1,TIME_VNS_LS1,AVG_VNS_GAP_LS1,STD_VNS_GAP_LS1,BEST_VNS_LS2,AVG_VNS_LS2,TIME_VNS_LS2,AVG_VNS_GAP_LS2,STD_VNS_GAP_LS2
2Layers,1,223.0,348.0,393.1,15.730148199999997,0.762780269058296,0.18967013729710286,251.0,329.5,3790.2050000000004,0.477578475336323,0.4314951077366375,259.0,334.4,3784.8840000000005,0.4995515695067264,0.4144914633605102
2Layers,2,493.0,518.0,520.6,24.0185535,0.05598377281947262,0.0032000431551586833,504.0,506.2,3842.411,0.026774847870182555,0.003919236442512356,505.0,509.0,3841.108,0.03245436105476673,0.003824783130150359
3Layers,1,196.0,385.0,385.7,22.2697514,0.9678571428571429,0.003443615090359954,385.0,385.5,3829.518,0.9668367346938777,0.003607687659115029,385.0,385.5,3826.5379999999996,0.9668367346938777,0.003607687659115029
3Layers,2,431.0,448.0,452.5,26.572357599999997,0.04988399071925754,0.004798791046400176,438.0,441.2,3866.6510000000003,0.023665893271461715,0.0037571408511960147,437.0,442.4,3872.707,0.026450116009280746,0.005598441166544116
3Layers,3,1688.0,1799.0,1805.5,83.6198441,0.06960900473933648,0.0023239735971445144,1755.0,1762.8,4441.304999999999,0.044312796208530805,0.0033137720321331806,1755.0,1766.9,4422.981999999999,0.046741706161137445,0.004174567429055257
4Layers,1,96.0,170.0,178.4,9.5586945,0.8583333333333334,0.06481068108511166,111.0,120.5,3743.3540000000003,0.25520833333333337,0.04941058844013094,118.0,124.9,3742.8940000000002,0.3010416666666667,0.03522209625809933
4Layers,2,294.0,309.0,310.9,17.5898003,0.05748299319727891,0.0033824113129651465,303.0,304.2,3779.4440000000004,0.0346938775510204,0.00215120929263155,303.0,305.2,3781.9389999999994,0.03809523809523809,0.004181199300359586
4Layers,3,582.0,604.0,606.2,22.5797866,0.04158075601374571,0.0022621326068879163,592.0,594.4,3832.047,0.021305841924398626,0.0037293976165176873,592.0,596.4,3831.4880000000003,0.024742268041237116,0.003455464634363884
4Layers,4,1571.0,1647.0,1652.7,85.1959512,0.05200509229789942,0.0020800044019779274,1619.0,1627.7,4457.0199999999995,0.036091661362189685,0.0033955282611677936,1622.0,1632.5,4460.090999999999,0.039147040101845956,0.004061996545528676
5Layers,1,87.0,179.0,179.8,10.139194100000001,1.0666666666666667,0.010562489465203218,178.0,178.4,3704.4,1.0505747126436782,0.005935606660854329,178.0,179.0,3706.7549999999997,1.0574712643678161,0.0054184427677130016
5Layers,2,203.0,218.0,219.9,11.911803899999999,0.0832512315270936,0.005421206574456214,209.0,212.4,3723.2019999999998,0.04630541871921182,0.01165730006522092,212.0,214.2,3717.1330000000003,0.05517241379310345,0.007269603816479033
5Layers,3,428.0,443.0,445.4,25.6780738,0.04065420560747663,0.0040016300868115666,435.0,437.2,3867.911,0.02149532710280374,0.004091565587714548,436.0,439.1,3866.363,0.025934579439252335,0.007091077657376971
5Layers,4,1201.0,1266.0,1268.7,60.4938627,0.05636969192339717,0.0010421861424101348,1234.0,1238.8,4207.896000000001,0.031473771856786015,0.003183931257218982,1237.0,1244.9,4184.277,0.03655287260616154,0.002760157622082002
5Layers,5,1631.0,1736.0,1741.4,82.20531439999999,0.06768853464132434,0.0019856869489460233,1683.0,1685.9,4424.776999999999,0.03366033108522379,0.001541632713316665,1691.0,1694.9,4451.757,0.03917841814837523,0.0027028359637214965
