Instance,Layers,BEST_KNOWN,BEST_GREEDY,AVG_GREEDY,TIME_GREEDY,AVG_GREEDY_GAP,STD_GREEDY_GAP,BEST_VNS_LS1,AVG_VNS_LS1,TIME_VNS_LS1,AVG_VNS_GAP_LS1,STD_VNS_GAP_LS1,BEST_VNS_LS2,AVG_VNS_LS2,TIME_VNS_LS2,AVG_VNS_GAP_LS2,STD_VNS_GAP_LS2
n100-M10,1,25.0,26.0,26.7,0.031163600000000003,0.068,0.01932183566158592,26.0,26.0,26.46212,0.039999999999999994,7.314236392868128e-18,26.0,26.0,70.05420000000001,0.039999999999999994,7.314236392868128e-18
n100-M10,5,44.0,45.0,47.0,0.0530626,0.06818181818181816,0.021427478217774167,44.0,45.9,27.76886,0.04318181818181818,0.022600657409358026,45.0,45.9,61.603089999999995,0.04318181818181818,0.01676965425846868
n100-M10,10,55.0,58.0,59.7,0.043908199999999994,0.08545454545454546,0.012271791958373692,56.0,57.1,22.854360000000003,0.038181818181818185,0.013415723406774943,56.0,57.5,47.71387,0.045454545454545456,0.017669551196500908
n100-M2,1,26.0,27.0,27.3,0.0090221,0.05,0.018578688136140307,26.0,26.6,6.536716999999999,0.023076923076923078,0.019861453057473933,26.0,26.5,15.949149999999998,0.019230769230769232,0.020271010642104997
n100-M2,2,34.0,36.0,36.0,0.0103734,0.058823529411764705,0.0,34.0,35.4,7.344606000000001,0.041176470588235294,0.028414464208214585,34.0,34.5,18.57551,0.014705882352941176,0.024995193694082277
n100-M5,1,25.0,26.0,26.8,0.017358600000000002,0.07200000000000001,0.016865480854231354,26.0,26.3,14.95395,0.052000000000000005,0.01932183566158592,26.0,26.2,31.630500000000005,0.048,0.016865480854231354
n100-M5,3,39.0,43.0,43.3,0.026220300000000002,0.11025641025641024,0.017306373274629566,40.0,40.8,18.074930000000002,0.04615384615384615,0.020225913788374756,40.0,40.6,35.63782,0.04102564102564103,0.013240968704982621
n100-M5,5,47.0,51.0,51.7,0.029519800000000002,0.1,0.0175164383478418,49.0,49.5,19.351269999999996,0.05319148936170213,0.015044825131628671,49.0,49.5,34.13852000000001,0.05319148936170213,0.01808162948082548
n1000-M10,1,197.0,201.0,204.1,2.5380965,0.03604060913705583,0.009405713779822196,198.0,201.6,662.3637000000001,0.023350253807106598,0.009329305415966308,197.0,201.5,1677.5310000000002,0.02284263959390863,0.012491390067879356
n1000-M10,5,358.0,367.0,370.0,3.4625311000000005,0.033519553072625705,0.0057396778426154335,358.0,365.3,580.4057,0.020391061452513966,0.010372456194885379,360.0,365.0,1448.288,0.019553072625698324,0.009853822387577617
n1000-M10,10,439.0,447.0,450.1,3.1906700999999997,0.02528473804100228,0.005199967704863761,439.0,443.8,527.5210999999999,0.010933940774487472,0.006601993961817512,441.0,444.4,1313.7214,0.012300683371298405,0.004453417858349333
n1000-M2,1,200.0,205.0,208.3,0.7217111,0.041499999999999995,0.007472170590486631,205.0,206.8,123.17406999999999,0.03400000000000001,0.007745966692414835,204.0,206.2,341.8088,0.031000000000000007,0.0065828058860438335
n1000-M2,2,270.0,274.0,276.4,0.9036941000000001,0.023703703703703706,0.004999618946004096,270.0,272.2,153.71570000000003,0.00814814814814815,0.0069399848506445415,270.0,272.1,350.9779,0.007777777777777779,0.0050752604422455464
n1000-M5,1,198.0,201.0,202.8,1.4939276,0.024242424242424242,0.005733800123207541,198.0,201.9,304.15,0.019696969696969695,0.009358210174873599,200.0,201.5,892.8295,0.017676767676767676,0.006410583422444367
n1000-M5,3,304.0,311.0,313.4,1.5670251,0.030921052631578943,0.006241337487174432,304.0,309.5,302.9244,0.018092105263157895,0.010315179672273453,304.0,308.8,848.7852,0.015789473684210527,0.009659085765590018
n1000-M5,5,359.0,369.0,370.2,1.8689871,0.031197771587743728,0.0025597119316787794,362.0,365.8,335.74809999999997,0.01894150417827298,0.0055399940167785685,359.0,365.0,890.4652,0.016713091922005575,0.007192169630840143
n10000-M10,1,1705.0,1705.0,1719.8,284.2040237,0.008680351906158358,0.003975983990267422,1705.0,1717.0,6471.58,0.007038123167155424,0.0036679693136449105,1705.0,1717.3,6479.019,0.007214076246334311,0.004007104816597386
n10000-M10,5,2979.0,2989.0,2998.9,458.1974073,0.00668009399127224,0.0020044401837224705,2984.0,2992.6,8144.562000000001,0.0045652903658945955,0.0022667932885040796,2979.0,2991.6,8020.238999999999,0.004229607250755287,0.0024980277520198413
n10000-M10,10,3614.0,3623.0,3630.4,517.8155484,0.004537908135030437,0.0014478079225492405,3614.0,3623.2,8798.928,0.002545655783065855,0.001964387310381721,3616.0,3622.5,8833.359999999999,0.0023519645821804096,0.001465619681061677
n10000-M2,1,1705.0,1714.0,1724.6,54.063496699999995,0.01149560117302053,0.0032266949811578117,1705.0,1716.6,4158.138000000001,0.006803519061583578,0.003659623525097976,1707.0,1718.1,4156.558999999999,0.007683284457478005,0.0032766513389818988
n10000-M2,2,2218.0,2229.0,2239.6,48.0312044,0.009738503155996394,0.002681660117005767,2219.0,2229.4,4020.3770000000004,0.005139765554553652,0.0024437002253294674,2218.0,2230.2,4083.0449999999996,0.005500450856627591,0.0025838626150090117
n10000-M5,1,1704.0,1708.0,1716.3,149.99031179999997,0.007218309859154931,0.002551298722920676,1706.0,1712.8,5108.148000000001,0.005164319248826292,0.002707739667135881,1704.0,1711.6,5091.302,0.004460093896713615,0.0023668988203840646
n10000-M5,3,2542.0,2549.0,2556.7,219.3312682,0.005782848151062157,0.0019276606519957242,2542.0,2551.2,5812.179000000001,0.0036191974822974036,0.0018802463497440253,2546.0,2550.6,5807.2880000000005,0.003383162863886703,0.0013139234251114977
n10000-M5,5,2972.0,2980.0,2987.6,222.63768599999997,0.005248990578734859,0.0014726467081354736,2974.0,2981.7,5846.899,0.003263795423956931,0.0017451281937940699,2972.0,2979.9,5888.942999999999,0.0026581426648721396,0.0015976107115809246
n30-M10,1,9.0,10.0,10.0,0.0029560999999999997,0.11111111111111112,1.4628472785736255e-17,9.0,9.0,5.68794,0.0,0.0,9.0,9.0,12.240528999999999,0.0,0.0
n30-M10,5,16.0,17.0,17.0,0.0044846,0.0625,0.0,16.0,16.4,6.557388999999999,0.025,0.032274861218395144,16.0,16.1,13.836010000000002,0.00625,0.01976423537605237
n30-M10,10,22.0,23.0,23.4,0.0062371,0.06363636363636363,0.023472626340651014,22.0,22.0,6.58013,0.0,0.0,22.0,22.0,12.282680000000001,0.0,0.0
n30-M2,1,9.0,9.0,9.0,0.0006588,0.0,0.0,9.0,9.0,1.299967,0.0,0.0,9.0,9.0,2.724469,0.0,0.0
n30-M2,2,13.0,14.0,14.0,0.0010825000000000001,0.07692307692307691,1.4628472785736255e-17,13.0,13.0,1.8136940000000004,0.0,0.0,13.0,13.0,4.079718000000001,0.0,0.0
n30-M5,1,9.0,9.0,9.0,0.0014417000000000002,0.0,0.0,9.0,9.0,2.903125,0.0,0.0,9.0,9.0,6.786355,0.0,0.0
n30-M5,3,13.0,13.0,13.0,0.0018987000000000001,0.0,0.0,13.0,13.0,2.9323509999999997,0.0,0.0,13.0,13.0,6.246519999999999,0.0,0.0
n30-M5,5,17.0,17.0,17.5,0.0024030999999999996,0.029411764705882353,0.03100272215851352,17.0,17.0,3.019598,0.0,0.0,17.0,17.0,5.852060999999999,0.0,0.0
n5000-M10,1,898.0,901.0,906.0,63.230195300000005,0.008908685968819599,0.0035214673275817143,898.0,901.9,4248.486,0.004342984409799555,0.0034202374164185425,898.0,901.6,4236.534999999999,0.00400890868596882,0.0031584331679558497
n5000-M10,5,1572.0,1579.0,1583.0,113.20582239999999,0.006997455470737914,0.0018240723636646792,1572.0,1576.8,20786.934,0.0030534351145038168,0.002678814537294954,1572.0,1575.7,4751.055,0.0023536895674300252,0.0017753550202658592
n5000-M10,10,1908.0,1915.0,1924.0,137.06593020000003,0.008385744234800839,0.002912881202049802,1909.0,1918.0,4980.878,0.005241090146750524,0.0024333312853221734,1908.0,1916.7,4995.284000000001,0.004559748427672957,0.002433958351763538
n5000-M2,1,906.0,910.0,917.1,16.458915899999997,0.012251655629139073,0.004045420752730967,906.0,909.7,2212.6690000000003,0.0040838852097130245,0.003998301099896147,907.0,911.0,6216.064,0.005518763796909493,0.003249360142136809
n5000-M2,2,1171.0,1176.0,1186.1,20.6643004,0.012894961571306573,0.003994337046094175,1171.0,1179.5,2194.364,0.007258753202391119,0.004396084603324937,1171.0,1180.6,3814.7339999999995,0.008198121263877029,0.004320789288018281
n5000-M5,1,898.0,906.0,910.6,33.0664345,0.01403118040089087,0.0033695042963356255,898.0,905.2,4523.034000000001,0.008017817371937639,0.00529652827965463,904.0,907.3,3937.0390000000007,0.010356347438752784,0.0031078597904876733
n5000-M5,3,1343.0,1350.0,1354.4,51.898659300000006,0.008488458674609085,0.0016161648643434803,1343.0,1349.4,4115.9220000000005,0.004765450483991065,0.002768298534345731,1343.0,1349.6,4133.17,0.004914370811615785,0.0026078779918716696
n5000-M5,5,1573.0,1582.0,1589.6,51.14206420000001,0.010553083280356009,0.002830397602384234,1573.0,1581.1,4113.704,0.0051493960584869675,0.003033339369743901,1575.0,1582.5,4088.8420000000006,0.006039415130324221,0.002599670300145221
