Instance,,,Layers,BEST_KNOWN,BEST_GREEDY,AVG_GREEDY,TIME_GREEDY,AVG_GREEDY_GAP,STD_GREEDY_GAP,BEST_VNS_LS1,AVG_VNS_LS1,TIME_VNS_LS1,AVG_VNS_GAP_LS1,STD_VNS_GAP_LS1,BEST_VNS_LS2,AVG_VNS_LS2,TIME_VNS_LS2,AVG_VNS_GAP_LS2,STD_VNS_GAP_LS2
n100,M10,p0,1,20,23,23.7,0.028679,0.185,0.024152295,20,20.9,29.19782,0.045,0.015811388,21,21,66.08725,0.05,0
n100,M10,p0,5,36,36,37,0.0388051,0.027777778,0.01309457,36,36.4,21.41503,0.011111111,0.014344383,36,36.4,50.74404,0.011111111,0.014344383
n100,M10,p0,10,40,44,44.3,0.0362332,0.1075,0.012076147,40,40,21.3176,0,0,40,40,52.78354,0,0
n100,M2,p0,1,21,21,21,0.0054679,0,0,21,21,6.599151,0,0,21,21,15.75476,0,0
n100,M2,p0,2,29,29,29,0.0099243,0,0,29,29,5.747179,0,0,29,29,14.6415,0,0
n100,M5,p0,1,20,20,20.3,0.012241,0.015,0.024152295,20,20,14.88513,0,0,20,20,28.21158,0,0
n100,M5,p0,3,31,34,34.3,0.0216524,0.106451613,0.015582126,32,33.2,16.30235,0.070967742,0.033315986,31,32.9,33.00545,0.061290323,0.038619968
n100,M5,p0,5,38,39,39.5,0.0192467,0.039473684,0.013869639,38,38,20.67738,0,0,38,38,34.52195,0,0
n1000,M10,p0,1,161,168,168.9,2.0851894,0.049068323,0.005438478,162,164.4,803.2026,0.021118012,0.00979889,161,164.7,1689.823,0.022981366,0.016315435
n1000,M10,p0,5,249,258,263.7,2.3851244,0.059036145,0.010378071,249,253.6,694.9768,0.018473896,0.01244332,251,254.2,1520.044,0.020883534,0.010675985
n1000,M10,p0,10,299,311,314.7,2.8936345,0.052508361,0.007059594,302,306.2,741.6762,0.024080268,0.009820609,299,304.7,1558.375,0.019063545,0.010344491
n1000,M2,p0,1,164,170,172.3,0.636779,0.050609756,0.009112403,164,167.5,164.6889,0.021341463,0.012279518,165,168.2,364.7507,0.025609756,0.012463179
n1000,M2,p0,2,196,211,211.9,0.6873108,0.081122449,0.003764616,199,203.1,172.129,0.03622449,0.012828587,196,202,389.1376,0.030612245,0.01613407
n1000,M5,p0,1,161,164,166.8,1.2300384,0.036024845,0.01200114,161,163.1,453.7117,0.013043478,0.008511306,162,164,852.8617,0.01863354,0.008281573
n1000,M5,p0,3,221,232,233.3,1.4293573,0.055656109,0.004793438,221,224.9,401.4326,0.017647059,0.013226643,222,224.7,847.5953,0.016742081,0.009551216
n1000,M5,p0,5,252,260,265.5,1.2127232,0.053571429,0.010117102,254,255.8,406.0946,0.015079365,0.007196545,252,255.9,844.3575,0.01547619,0.011897411
n10000,M10,p0,1,269,270,272.5,110.3256627,0.013011152,0.005329817,269,272.4,4728.606,0.012639405,0.006120986,270,272.4,4753.624,0.012639405,0.005315393
n10000,M10,p0,5,388,388,389.7,122.3406198,0.004381443,0.002988407,388,389.4,4870.071,0.003608247,0.003479116,388,389.5,4808.016,0.003865979,0.0030374
n10000,M10,p0,10,434,434,436.2,126.9599448,0.005069124,0.003886055,434,436.2,4914.487,0.005069124,0.003886055,434,436.1,4978.165,0.00483871,0.004128934
n10000,M2,p0,1,270,270,273,23.261888,0.011111111,0.005521155,270,272.8,3846.661,0.01037037,0.005465665,270,272.9,3845.792,0.010740741,0.00507526
n10000,M2,p0,2,320,320,322.8,25.5779748,0.00875,0.004841229,320,322.3,3874.427,0.0071875,0.005113724,320,322.6,3890.391,0.008125,0.005145454
n10000,M5,p0,1,271,271,272.7,56.6317211,0.006273063,0.0049354,271,272.6,4191.443,0.005904059,0.00433132,271,272.6,4174.391,0.005904059,0.00433132
n10000,M5,p0,3,348,349,352.1,71.3099455,0.011781609,0.004164189,348,351.6,4321.713,0.010344828,0.005617961,349,351.9,4289.507,0.011206897,0.004967932
n10000,M5,p0,5,387,388,389.3,61.5345168,0.005943152,0.003234278,387,389,4245.027,0.005167959,0.003654299,388,389.3,4234.753,0.005943152,0.003234278
n30,M10,p0,1,6,6,6,0.0018234,0,0,6,6,6.480398,0,0,6,6,11.220235,0,0
n30,M10,p0,5,10,10,10,0.0030247,0,0,10,10,5.313061,0,0,10,10,10.142312,0,0
n30,M10,p0,10,13,14,14,0.0044583,0.076923077,1.46E-17,13,13,6.207035,0,0,13,13,12.11295,0,0
