Instance,Layers,BEST_KNOWN,BEST_GREEDY,AVG_GREEDY,TIME_GREEDY,AVG_GREEDY_GAP,STD_GREEDY_GAP,BEST_VNS_LS1,AVG_VNS_LS1,TIME_VNS_LS1,AVG_VNS_GAP_LS1,STD_VNS_GAP_LS1,BEST_VNS_LS2,AVG_VNS_LS2,TIME_VNS_LS2,AVG_VNS_GAP_LS2,STD_VNS_GAP_LS2
n100-c10-M10-p30,1,20,22,22,0.0253965,0.1,0,21,21,25.4242,0.05,0,21,21,59.15636,0.05,0
n100-c10-M10-p30,5,35,41,42.1,0.0431787,0.202857143,0.031442998,35,36.4,22.64976,0.04,0.027602622,35,36.6,59.81762,0.045714286,0.033536794
n100-c10-M10-p30,10,46,52,52.3,0.0522071,0.136956522,0.010500998,47,47.9,30.26508,0.041304348,0.012340135,47,48.5,69.98532,0.054347826,0.021126637
n100-c10-M2-p30,1,22,24,24,0.0079506,0.090909091,0,22,22.6,7.360887,0.027272727,0.023472626,22,22.2,19.67124,0.009090909,0.019165319
n100-c10-M2-p30,2,29,32,32.1,0.0096616,0.106896552,0.010904406,29,29.8,8.064905,0.027586207,0.027200367,29,29.5,19.9732,0.017241379,0.024382992
n100-c10-M5-p30,1,20,23,23,0.0150585,0.15,2.93E-17,20,22,20.40077,0.1,0.040824829,22,22.7,32.71931,0.135,0.024152295
n100-c10-M5-p30,3,30,36,36,0.0221558,0.2,0,30,31.9,18.47068,0.063333333,0.036683498,30,31.6,34.62169,0.053333333,0.032203059
n100-c10-M5-p30,5,38,43,43.3,0.0184659,0.139473684,0.012711734,38,39.4,13.77401,0.036842105,0.022191422,39,39.6,27.0027,0.042105263,0.013589415
n1000-c100-M10-p30,1,159,168,169.7,2.1314991,0.067295597,0.008411909,162,164.3,869.9775,0.033333333,0.009855479,162,164.5,1990.594,0.034591195,0.009017112
n1000-c100-M10-p30,5,281,284,287.6,3.3621306,0.023487544,0.00609501,281,283.9,755.1929,0.010320285,0.007205856,281,282.7,1777.957,0.006049822,0.005318271
n1000-c100-M10-p30,10,330,339,341.6,4.4020878,0.035151515,0.004780671,330,334.8,863.9826,0.014545455,0.009124517,333,335.4,2070.489,0.016363636,0.005924395
n1000-c100-M2-p30,1,163,171,172.3,0.5682351,0.057055215,0.006499079,164,167.3,192.1016,0.026380368,0.01158627,166,167.9,512.3673,0.03006135,0.013394293
n1000-c100-M2-p30,2,207,213,217.8,0.6718616,0.052173913,0.009874209,210,211.9,209.7779,0.023671498,0.006619905,210,213.5,478.0603,0.031400966,0.009180156
n1000-c100-M5-p30,1,159,170,172.1,1.4598649,0.082389937,0.00625427,165,166.9,446.4575,0.049685535,0.006921415,165,167.4,946.5567,0.052830189,0.011172254
n1000-c100-M5-p30,3,234,242,243.8,2.0135425,0.041880342,0.006620484,235,239.2,409.4471,0.022222222,0.014499157,234,237.6,849.8179,0.015384615,0.010311659
n1000-c100-M5-p30,5,276,285,286.6,1.9379316,0.038405797,0.003894811,276,279.2,404.3138,0.011594203,0.008842032,276,281.4,801.208,0.019565217,0.011095347
n10000-c100-M10-p30,1,269,269,272.3,98.7658889,0.012267658,0.006568703,269,272.3,4602.237,0.012267658,0.006568703,269,272.2,4596.124,0.011895911,0.006741745
n10000-c100-M10-p30,5,405,405,408.8,118.9227534,0.009382716,0.004323926,405,408.8,4825.474,0.009382716,0.004323926,405,408.8,4828.207,0.009382716,0.004323926
n10000-c100-M10-p30,10,468,468,471,171.8105406,0.006410256,0.003768877,468,471,5361.326,0.006410256,0.003768877,468,471,5361.197,0.006410256,0.003768877
n10000-c100-M2-p30,1,271,271,274,24.9213245,0.011070111,0.005769269,271,274,3854.758,0.011070111,0.005769269,271,274,3852.176,0.011070111,0.005769269
n10000-c100-M2-p30,2,327,327,329.9,24.1073974,0.008868502,0.003934813,327,329.9,3842.985,0.008868502,0.003934813,327,329.9,3852.128,0.008868502,0.003934813
n10000-c100-M5-p30,1,267,267,271.1,57.5099051,0.015355805,0.00817704,267,271.1,4198.678,0.015355805,0.00817704,267,270.9,4196.616,0.014606742,0.0077865
n10000-c100-M5-p30,3,358,358,360.9,59.5098962,0.008100559,0.00580725,358,360.8,4219.645,0.007821229,0.005397161,358,360.8,4244.177,0.007821229,0.005397161
n10000-c100-M5-p30,5,407,407,408.8,51.2842631,0.004422604,0.003625871,407,408.8,4129.075,0.004422604,0.003625871,407,408.8,4132.66,0.004422604,0.003625871
n30-c3-M10-p30,1,6,7,7,0.0026314,0.166666667,2.93E-17,6,6,6.581766,0,0,6,6,11.92436,0,0
n30-c3-M10-p30,5,11,13,13,0.0037415,0.181818182,0,11,11,6.61642,0,0,11,11,11.25242,0,0
n30-c3-M10-p30,10,14,18,18,0.0060395,0.285714286,0,14,14,7.295215,0,0,14,14,13.10666,0,0
n30-c3-M2-p30,1,6,6,6,0.0005661,0,0,6,6,1.946139,0,0,6,6,4.096144,0,0
n30-c3-M2-p30,2,8,10,10,0.00085,0.25,0,8,8,2.006006,0,0,8,8,4.06842,0,0
n30-c3-M5-p30,1,6,6,6,0.0012519,0,0,6,6,3.607252,0,0,6,6,8.579554,0,0
n30-c3-M5-p30,3,8,9,9,0.0016792,0.125,0,8,8,4.047087,0,0,8,8,8.905401,0,0
n30-c3-M5-p30,5,12,12,12,0.002024,0,0,12,12,2.899615,0,0,12,12,6.306069,0,0
n5000-c50-M10-p30,1,164,166,166.6,29.7763342,0.015853659,0.003148767,164,166.1,3911.286,0.012804878,0.007300116,165,166.4,3928.226,0.014634146,0.004263451
n5000-c50-M10-p30,5,248,248,250.2,36.8380023,0.008870968,0.005950522,248,250.1,4000.27,0.008467742,0.005525485,248,250.1,3989.034,0.008467742,0.005843297
n5000-c50-M10-p30,10,287,288,289.3,48.8129011,0.008013937,0.003691115,287,289.2,4104.351,0.007665505,0.00428318,288,289.1,4109.513,0.007317073,0.003464909
n5000-c50-M2-p30,1,161,162,164.6,5.9187322,0.022360248,0.008880998,161,163.3,3665.296,0.014285714,0.009733051,162,163.6,3664.06,0.016149068,0.008384454
n5000-c50-M2-p30,2,196,197,199.8,6.3542571,0.019387755,0.006717149,196,198.1,3658.168,0.010714286,0.00739356,197,198.9,3670.227,0.014795918,0.005614821
n5000-c50-M5-p30,1,165,165,166.7,14.5938278,0.01030303,0.006420302,165,166,3758.669,0.006060606,0.004040404,165,166.5,3761.09,0.009090909,0.006546203
n5000-c50-M5-p30,3,219,221,222.2,19.2890611,0.014611872,0.006011695,220,222,3793.529,0.01369863,0.006457596,219,221.8,3802.629,0.012785388,0.007073942
n5000-c50-M5-p30,5,247,247,250.8,22.1316426,0.015384615,0.00682813,247,250,3825.899,0.012145749,0.006611308,247,250.1,3834.433,0.012550607,0.00673413
