n,m,K,clust,p,VNS FI_minObj,VNS FI_avgObj,VNS FI_avgIter,VNS FI_avgTime,VNS BI_minObj,VNS BI_avgObj,VNS BI_avgIter,VNS BI_avgTime
30,2,1,3,0,6,6,6131.5,1.834592,6,6,6192,4.136358
30,2,2,3,0,9,9,5824.6,1.836696,9,9,6328.4,4.299638
30,5,1,3,0,6,6,5954.4,5.53002,6,6,6022.6,9.745803
30,5,3,3,0,10,10,5885.1,5.74588,10,10,6018.2,9.506502
30,5,5,3,0,12,12,6019.3,5.74902,12,12,6436.2,11.11198
30,10,1,3,0,6,6,6306.4,6.600451,6,6,6141.4,14.90277
30,10,5,3,0,10,10,5739.9,6.062654,10,10,6033.6,12.6941
30,10,10,3,0,13,13,5532,6.412254,13,13,5774,12.82968
100,2,1,10,0,21,21,6256.9,6.800686,21,21,6777.2,16.16071
100,2,2,10,0,29,29,6248.1,6.777715,29,29,6709,16.21981
100,5,1,10,0,20,21.2,6420.8,15.90598,20,21.6,6720,30.22591
100,5,3,10,0,31,32.3,7671.5,19.06915,31,32.4,7865.1,35.89971
100,5,5,10,0,38,38.1,7959.7,20.11147,38,38.1,8918.9,40.97357
100,10,1,10,0,20,21.3,6523.1,28.71717,20,21.6,6965.3,66.24432
100,10,5,10,0,36,36.6,8480,37.00579,36,36.6,8618.6,80.96098
100,10,10,10,0,40,40,7122.6,33.23783,40,40,7794.7,76.02189
1000,2,1,100,0,169,175.4,10009,217.4117,175,179.3,10009,491.4465
1000,2,2,100,0,203,207.9,10009,222.9737,204,211.4,10009,508.6587
1000,5,1,100,0,169,176.9,10009,603.2299,177,184.5,10009,1289.274
1000,5,3,100,0,225,231.1,10009,636.1774,224,234.2,10009,1275.57
1000,5,5,100,0,263,267.9,10009,631.3119,268,273,10009,1258.611
1000,10,1,100,0,173,176.1,9960.6,1188.525,178,180.9,10009,2592.019
1000,10,5,100,0,261,268.7,10009,1116.135,264,273,9978.2,2348.853
1000,10,10,100,0,319,321.1,10009,1066.3573,316,324.1,10009,2274.481
5000,2,1,50,0,182,186.6,5002.4,3601.334,192,199.1,2197.9,3601.292
5000,2,2,50,0,203,206.7,5296.2,3601.258,217,221.1,2448.6,3601.574
5000,5,1,50,0,190,193.3,1863,3602.336,228,250.8,548.3,3603.907
5000,5,3,50,0,230,234.2,2040.4,3602.556,275,303.4,641.3,3603.286
5000,5,5,50,0,258,262.2,2256.5,3601.946,279,309,729.4,3603.409
5000,10,1,50,0,190,196.4,1097.9,3604.332,303,417.1,171.7,3606.085
5000,10,5,50,0,258,266.1,934.4,3604.561,463,676.5,95.4,3607.327
5000,10,10,50,0,294,297.3,976.2,3604.917,564,689.6,108.9,3609.296
10000,2,1,100,0,332,338.1,1520,3603.934,729,741.7,37.6,3634.335
10000,2,2,100,0,380,385.1,1658.7,3602.98,784,838.5,99.3,3604.84
10000,5,1,100,0,339,344.9,773.1,3605.684,740,755.7,0,7926.552
10000,5,3,100,0,414,418.3,762.4,3606.023,924,949.7,0,7704.459
10000,5,5,100,0,441,450.7,768.6,3605.062,1020,1034.4,0,7635.044
10000,10,1,100,0,350,354.4,383.5,3610.527,733,756.1,0,16657.03
10000,10,5,100,0,451,458.9,390.2,3612.163,1029,1045.2,0,15461.08
10000,10,10,100,0,504,512,421.4,3608.039,1146,1167.1,0,13822.9
30,2,1,3,30,6,6,5880.7,1.942209,6,6,6027,4.259238
30,2,2,3,30,8,8,5862,1.822813,8,8,6053.4,3.992241
30,5,1,3,30,6,6,6173.3,3.889931,6,6,6122.7,8.073416
30,5,3,3,30,8,8,6489,4.008416,8,8,6837.7,8.763897
30,5,5,3,30,12,12,5637.6,3.574485,12,12,6005,8.231817
30,10,1,3,30,6,6,5863.1,6.325667,6,6,5935.7,13.22938
30,10,5,3,30,11,11,6144.7,6.781279,11,11,6029.2,12.524119
30,10,10,3,30,14,14.1,5904.9,6.717174,14,14,6232.7,15.06078
100,2,1,10,30,22,22.1,7463.6,8.412627,22,22.1,6633.1,15.96291
100,2,2,10,30,29,29.6,7371.2,8.131246,29,29.8,7915.7,18.87544
100,5,1,10,30,20,21.2,6680.4,17.18162,20,21.5,7083,33.01548
100,5,3,10,30,30,30.7,8296.3,21.41027,30,31,8493.2,40.64549
100,5,5,10,30,38,38.9,7110.5,18.76265,38,38.9,7343.7,34.69004
100,10,1,10,30,20,21.2,6836.6,30.81137,20,20.7,7205.1,71.49147
100,10,5,10,30,35,37.3,6891.6,31.43442,36,37.3,7501,75.13445
100,10,10,10,30,47,47.9,7354.7,35.81478,46,47.9,7803.5,84.483
1000,2,1,100,30,169,176.6,9773.6,262.715,173,179.4,10009,642.5903
1000,2,2,100,30,219,226.3,9896.8,262.3992,226,227.9,10009,622.0895
1000,5,1,100,30,171,174.5,10009,623.4156,177,181.1,10009,1282.622
1000,5,3,100,30,252,255.5,10009,636.138,258,262.6,10009,1278.658
1000,5,5,100,30,294,298.9,10009,626.565,296,302.5,10009,1247.073
1000,10,1,100,30,171,173.4,10009,934.9632,175,179.7,10009,2062.671
1000,10,5,100,30,292,297.7,10009,937.5269,295,301.8,10009,2095.113
1000,10,10,100,30,354,359.7,9861.6,946.4165,352,358.6,10009,2100.422
5000,2,1,50,30,184,186.2,4907.8,3601.416,194,197.9,2013.1,3601.744
5000,2,2,50,30,216,218.9,5328.6,3601.229,236,242.7,2219,3601.546
5000,5,1,50,30,188,193,2209.8,3602.175,203,214.2,689.2,3603.296
5000,5,3,50,30,246,250.7,1876.8,3602.647,300,329.6,520,3604.03
5000,5,5,50,30,279,285.7,1902.2,3602.284,348,375,550.5,3604.9
5000,10,1,50,30,192,195.8,1113.1,3603.76,246,279.9,136.3,3605.672
5000,10,5,50,30,283,290.2,872.1,3605.331,478,525.8,58.9,3608.537
5000,10,10,50,30,330,335.9,952.7,3604.269,544,593.1,109.1,3607.553
10000,2,1,100,30,332,338.7,1486.4,3603.096,557,589.9,13.5,3707.494
10000,2,2,100,30,396,403.7,1671.3,3603.151,674,693.4,62.2,3604.179
10000,5,1,100,30,337,345.3,785,3605.299,560,587.6,0,7789.779
10000,5,3,100,30,437,445.6,795.6,3605.325,743,774.5,0,7731.352
10000,5,5,100,30,496,503.7,795.1,3605.438,838,858.1,0,7741.085
10000,10,1,100,30,348,355.2,338.4,3610.487,586,604.1,0,18756.11
10000,10,5,100,30,503,511.1,353.7,3609.045,847,864.6,0,17253.68
10000,10,10,100,30,574,583.6,386.1,3609.409,954,973.9,0,15692.72
