n,m,K,VNS FI_minObj,VNS FI_avgObj,VNS FI_avgIter,VNS FI_avgTime,VNS BI_minObj,VNS BI_avgObj,VNS BI_avgIter,VNS BI_avgTime
2Layers,2,1,257,268.3,3632.6,3601.859,328,363,1205.5,3602.085
2Layers,2,2,518,523.5,4184.5,3601.425,621,641.9,1490.6,3601.571
3Layers,3,1,228,235.6,3276.3,3601.733,292,320.5,1034,3603.116
3Layers,3,2,455,462.9,3873.7,3601.439,548,590.1,1293.6,3602.302
3Layers,3,3,1816,1827.4,4621.4,3601.15,2057,2091.1,1674.8,3601.927
4Layers,4,1,119,128,3056.6,3601.715,167,184.9,958.6,3602.379
4Layers,4,2,312,320.4,3621.5,3601.257,398,421.4,1205.4,3602.218
4Layers,4,3,607,1103.5,4406.5,3601.149,697,727.6,1531.1,3602.019
4Layers,4,4,1677,1684.2,4798.4,3601.048,1901,1928.4,1762.7,3601.822
5Layers,5,1,109,115.1,3966.9,3601.234,135,147.7,1394.5,3602.227
5Layers,5,2,221,225,3923,3601.514,281,310.1,1418.9,3601.401
5Layers,5,3,448,452.8,4532.9,3601.321,518,548.4,1654.1,3601.501
5Layers,5,4,1279,1294.2,4576.1,3601.127,1444,1482.2,1707.4,3601.874
5Layers,5,5,1716,1732.7,3743.2,3601.089,1899,1922.7,1432.2,3601.857
