n,m,K,VNS FI_minObj,VNS FI_avgObj,VNS FI_avgIter,VNS FI_avgTime,VNS BI_minObj,VNS BI_avgObj,VNS BI_avgIter,VNS BI_avgTime
30,2,1,9,9,5646.4,1.0279863,9,9,5871.9,2.211134
30,2,2,13,13,5621.1,1.39624,13,13,6118.3,2.847228
30,5,1,9,9,5587,2.044715,9,9,5830.1,4.87848
30,5,3,13,13,5955.5,2.806091,13,13,6295.4,6.649283
30,5,5,17,17,5481.4,2.647324,17,17,5845.5,6.082296
30,10,1,9,9,5724.5,4.696223,9,9,5901.6,10.865919
30,10,5,16,16.2,6205.2,5.045982,16,16,6856.4,11.217263
30,10,10,22,22,5879.6,4.794198,22,22,6100.7,9.674254
100,2,1,26,26.9,7669.3,6.797359,26,26.6,7615.4,15.35474
100,2,2,35,36.1,7954.2,6.202631,34,36,7953.1,14.11323
100,5,1,26,26.8,7332.7,14.0157,25,26.5,8386.5,29.25551
100,5,3,40,41.6,7541.7,14.290083,39,41.2,8278.7,29.63197
100,5,5,48,50.3,7851.9,15.29862,48,49.5,8320.5,29.14191
100,10,1,25,26.7,7752.9,26.42349,25,26.2,7717.7,55.96746
100,10,5,45,46.1,8122.5,26.2473,45,46.2,8115.9,59.26451
100,10,10,58,59,8239.1,24.64784,56,57.6,8565.8,56.56844
1000,2,1,224,229.2,10009,100.32067,228,235.2,10009,239.9773
1000,2,2,290,295.8,10009,159.55095,302,306.2,10009,383.1326
1000,5,1,215,223.8,9937.5,381.1644,229,234.2,10009,963.9028
1000,5,3,333,338,10009,421.6605,343,347.2,10009,1038.1372
1000,5,5,390,395.8,10009,359.9975,394,400.8,10009,903.3726
1000,10,1,217,226.3,10009,791.9848,231,236.3,10009,2004.286
1000,10,5,388,399.2,9739.5,636.1278,389,403.5,10009,1621.489
1000,10,10,472,479.8,10009,542.2956,481,487.7,10009,1409.084
5000,2,1,1038,1066.2,10009,1941.314,1147,1169.3,6982.6,3600.69
5000,2,2,1344,1352.6,10009,2148.92,1441,1469.1,6403.2,3600.685
5000,5,1,1043,1065,7902,3600.841,1175,1196.8,2672.1,3600.943
5000,5,3,1531,1558.5,6321.4,3600.878,1677,1698.2,2005.6,3601.144
5000,5,5,1779,1794.5,7242,3600.761,1901,1922.9,2467.4,3601.326
5000,10,1,1074,1090.4,3636.1,3600.866,1199,1225.2,1024.9,3602.447
5000,10,5,1813,1823.7,2889.8,3601.282,1953,1979.9,794.6,3603.366
5000,10,10,2140,2156.3,3291.3,3601.195,2282,2312.2,996.7,3601.783
10000,2,1,2044,2080.2,5102.9,3601.427,2340,2390.7,1184.1,3601.529
10000,2,2,2629,2655,6067.5,3601.07,2907,2949.6,1612.3,3601.91
10000,5,1,2109,2146,1882.6,3602.401,2553,2616.3,50.2,3602.834
10000,5,3,3025,3055.3,2173.9,3601.984,3467,3503.9,231.4,3604.696
10000,5,5,3468,3491.1,2767.1,3601.513,3868,3905.6,454.4,3602.651
10000,10,1,2182,2227.2,941.8,3604.158,2621,2642.7,0,6581.49
10000,10,5,3543,3584.7,1159.4,3602.775,4089,4123.2,0,4479.941
10000,10,10,4179,4209,1280.8,3602.163,4742,4784.2,0,3727.694
