Instance,Layers,BEST_KNOWN,BEST_GREEDY,AVG_GREEDY,TIME_GREEDY,AVG_GREEDY_GAP,STD_GREEDY_GAP,BEST_VNS_LS1,AVG_VNS_LS1,TIME_VNS_LS1,AVG_VNS_GAP_LS1,STD_VNS_GAP_LS1
i1-n100-M5-p921,1,24,28,28,0.0129279,0.166666667,2.93E-17,26,26.3,12.771411,0.095833333,0.020126912
i1-n100-M5-p921,3,37,41,42.1,0.02265,0.137837838,0.01534179,38,39.3,16.26731,0.062162162,0.038328013
i1-n100-M5-p921,5,47,49,49.1,0.0246731,0.044680851,0.00672825,48,48.3,15.27132,0.027659574,0.010277572
i1-n100-c10-M5-p0,1,21,21,21.4,0.0120208,0.019047619,0.033295519,21,21,13.62788,0,0
i1-n100-c10-M5-p0,3,32,35,36.2,0.0190929,0.13125,0.024650332,34,34.1,16.17452,0.065625,0.009882118
i1-n100-c10-M5-p0,5,39,40,40.2,0.0181698,0.030769231,0.010811206,39,39.7,14.90935,0.017948718,0.012385792
i1-n100-c10-M5-p30,1,20,24,24.1,0.0108858,0.205,0.015811388,20,20.3,18.71284,0.015,0.033747428
i1-n100-c10-M5-p30,3,30,33,34.1,0.0147014,0.136666667,0.033147631,30,30.1,15.43245,0.003333333,0.010540926
i1-n100-c10-M5-p30,5,37,41,41.1,0.0199107,0.110810811,0.008546696,37,37,13.95274,0,0
i1-n1000-M10-p138,5,364,369,372.5,4.7343076,0.023351648,0.004714116,364,368.5,729.9674,0.012362637,0.008417938
i1-n1000-M10-p138,10,440,448,451.9,4.8891563,0.027045455,0.004844932,440,445.5,816.9442,0.0125,0.00636093
i1-n1000-c100-M10-p0,5,249,260,263.1,3.3985254,0.056626506,0.007908463,249,251.4,957.5324,0.009638554,0.006612631
i1-n1000-c100-M10-p0,10,301,311,315.1,3.7890195,0.046843854,0.007420538,301,305.2,995.2841,0.013953488,0.010003623
i1-n1000-c100-M10-p30,5,276,283,285.6,4.0106464,0.034782609,0.008047503,276,280.5,874.5468,0.016304348,0.009237354
i1-n1000-c100-M10-p30,10,334,343,346.3,4.8741607,0.036826347,0.006776146,334,340.3,873.4936,0.018862275,0.010845691
i1-n5000-M2-p34,2,1170,1183,1187.6,19.644704,0.015042735,0.002617364,1170,1181.1,2170.793,0.009487179,0.00456641
i1-n5000-c50-M2-p0,2,192,194,196,6.0998261,0.020833333,0.005490065,192,193.9,3649.377,0.009895833,0.005731797
i1-n5000-c50-M2-p30,2,198,199,200.8,6.1724343,0.014141414,0.003983892,198,199.4,3662.139,0.007070707,0.005928221
i2-n100-M5-p921,1,25,25,26,0.0128547,0.04,0.018856181,25,25.4,12.099229,0.016,0.020655911
i2-n100-M5-p921,3,38,42,42.2,0.0244771,0.110526316,0.011095711,40,40.5,15.30971,0.065789474,0.013869639
i2-n100-M5-p921,5,46,50,50.5,0.0234692,0.097826087,0.015371887,47,48.1,19.98798,0.045652174,0.012340135
i2-n100-c10-M5-p0,1,20,21,21,0.0113388,0.05,0,21,21,14.03259,0.05,0
i2-n100-c10-M5-p0,3,30,32,32.9,0.0145991,0.096666667,0.010540926,31,31,14.86853,0.033333333,0
i2-n100-c10-M5-p0,5,38,39,39,0.0194589,0.026315789,0,38,38,14.9262,0,0
i2-n100-c10-M5-p30,1,20,21,21.8,0.010903,0.09,0.031622777,20,20,14.50899,0,0
i2-n100-c10-M5-p30,3,31,35,36,0.0191181,0.161290323,0.015206597,31,32.6,15.22314,0.051612903,0.022555029
i2-n100-c10-M5-p30,5,37,43,43,0.0199147,0.162162162,2.93E-17,38,38.7,16.24205,0.045945946,0.025640089
i2-n1000-M10-p138,5,362,369,372.1,4.4310672,0.027900552,0.006697273,362,365.7,766.111,0.010220994,0.00792646
i2-n1000-M10-p138,10,441,447,450.5,5.6717843,0.02154195,0.00537138,441,445.1,751.8631,0.009297052,0.005800932
i2-n1000-c100-M10-p0,5,250,261,266,3.1186662,0.064,0.010154364,250,254.8,925.4673,0.0192,0.012761052
i2-n1000-c100-M10-p0,10,299,309,310.9,3.9257108,0.039799331,0.003680619,299,302,913.4642,0.010033445,0.006500504
i2-n1000-c100-M10-p30,5,277,283,287,3.9644984,0.036101083,0.009005192,277,282.3,859.0745,0.019133574,0.013297096
i2-n1000-c100-M10-p30,10,334,340,344.3,4.7938744,0.030838323,0.005996335,334,338.9,829.5085,0.014670659,0.009515119
i2-n5000-M2-p34,2,1176,1183,1186.3,18.8368648,0.008758503,0.002160526,1176,1179.6,2022.73,0.003061224,0.00223905
i2-n5000-c50-M2-p0,2,192,195,197.8,5.9866198,0.030208333,0.006857089,192,195.8,3644.053,0.019791667,0.011463593
i2-n5000-c50-M2-p30,2,197,198,201.3,6.5241249,0.021827411,0.006353632,197,199.9,3671.092,0.014720812,0.008775839
i3-n100-M5-p921,1,25,27,27.3,0.0157562,0.092,0.019321836,26,26.6,15.54811,0.064,0.020655911
i3-n100-M5-p921,3,38,40,40.6,0.0231979,0.068421053,0.013589415,39,39.8,13.55378,0.047368421,0.011095711
i3-n100-M5-p921,5,46,50,50.2,0.0243236,0.091304348,0.009166022,48,48.9,17.29707,0.063043478,0.012340135
i3-n100-c10-M5-p0,1,20,21,21.6,0.0125598,0.08,0.025819889,21,21,13.69993,0.05,0
i3-n100-c10-M5-p0,3,31,34,34,0.0182572,0.096774194,0,33,33,13.50247,0.064516129,1.46E-17
i3-n100-c10-M5-p0,5,38,39,39,0.0190827,0.026315789,0,38,38.2,16.6068,0.005263158,0.011095711
i3-n100-c10-M5-p30,1,21,23,23,0.0117255,0.095238095,0,22,22,13.47264,0.047619048,0
i3-n100-c10-M5-p30,3,31,34,34.1,0.0140969,0.1,0.010200896,32,32.7,14.51132,0.05483871,0.015582126
i3-n100-c10-M5-p30,5,38,43,43.7,0.0173224,0.15,0.017761804,38,39.3,17.97006,0.034210526,0.027877629
i3-n1000-M10-p138,5,362,369,371.6,4.2835903,0.026519337,0.005852762,362,366.5,779.9694,0.012430939,0.007621061
i3-n1000-M10-p138,10,442,451,453,4.6284355,0.024886878,0.003016591,442,446.6,896.6596,0.01040724,0.006145264
i3-n1000-c100-M10-p0,5,249,261,264.6,3.1913848,0.062650602,0.007619946,249,253.7,925.1717,0.018875502,0.011830549
i3-n1000-c100-M10-p0,10,304,313,314.4,3.7225686,0.034210526,0.004952452,304,307.1,927.8473,0.010197368,0.006660677
i3-n1000-c100-M10-p30,5,276,285,287.9,4.1002727,0.043115942,0.007134809,276,282.7,802.3581,0.024275362,0.014089602
i3-n1000-c100-M10-p30,10,337,341,344.1,4.3779303,0.021068249,0.005498296,337,339.6,886.7711,0.007715134,0.005271182
i3-n5000-M2-p34,2,1161,1171,1175.8,19.1302636,0.012747631,0.002747858,1161,1168.5,2417.929,0.006459948,0.003983473
i3-n5000-c50-M2-p0,2,192,195,196.4,5.9153218,0.022916667,0.00559879,192,194.3,3626.369,0.011979167,0.006966112
i3-n5000-c50-M2-p30,2,197,199,200.4,6.6073836,0.017258883,0.005456689,197,198.8,3646.163,0.009137056,0.008561158
i4-n100-M5-p921,1,25,28,28.5,0.0150875,0.14,0.021081851,26,27.2,14.20811,0.088,0.036757463
i4-n100-M5-p921,3,39,42,42.2,0.0231117,0.082051282,0.010811206,40,41,14.66908,0.051282051,0.027028014
i4-n100-M5-p921,5,46,48,49,0.0281455,0.065217391,0.017749926,47,47.9,15.44036,0.041304348,0.006874517
i4-n100-c10-M5-p0,1,20,21,21.6,0.0129036,0.08,0.025819889,20,20.7,15.92458,0.035,0.024152295
i4-n100-c10-M5-p0,3,31,32,32.5,0.0170456,0.048387097,0.017001493,31,31.1,13.78195,0.003225806,0.010200896
i4-n100-c10-M5-p0,5,37,37,38,0.0194077,0.027027027,0.018018018,37,37.1,14.71307,0.002702703,0.008546696
i4-n100-c10-M5-p30,1,21,21,21,0.0114357,0,0,21,21,14.20059,0,0
i4-n100-c10-M5-p30,3,31,37,37,0.0162016,0.193548387,0,32,32.9,16.97772,0.061290323,0.028245001
i4-n100-c10-M5-p30,5,37,41,41.2,0.0192096,0.113513514,0.011395595,37,37.7,18.66076,0.018918919,0.025640089
i4-n1000-M10-p138,5,365,370,373.4,4.0800206,0.023013699,0.004511083,365,367.1,773.6363,0.005753425,0.005547522
i4-n1000-M10-p138,10,437,443,447,5.2022821,0.022883295,0.00682248,437,441.4,802.5691,0.01006865,0.008438942
i4-n1000-c100-M10-p0,5,251,260,264.1,3.1637268,0.052191235,0.006626813,251,254.5,901.8729,0.013944223,0.010157409
i4-n1000-c100-M10-p0,10,300,314,317.2,3.92768,0.057333333,0.006813204,300,308.7,918.3749,0.029,0.012074869
i4-n1000-c100-M10-p30,5,277,282,285.7,3.5521676,0.031407942,0.006602102,277,279.6,947.6662,0.009386282,0.007457008
i4-n1000-c100-M10-p30,10,335,339,343.4,4.2658224,0.025074627,0.006922399,335,339.1,842.7968,0.012238806,0.00737259
i4-n5000-M2-p34,2,1174,1178,1186.7,19.7172278,0.010817717,0.003637181,1174,1179.8,2105.395,0.004940375,0.003449482
i4-n5000-c50-M2-p0,2,191,193,195.3,6.0500388,0.022513089,0.00607069,191,193.5,3667.724,0.013089005,0.007506392
i4-n5000-c50-M2-p30,2,196,198,200.6,4.2775912,0.023469388,0.00688723,196,199.2,3216.2,0.016326531,0.009858079
i5-n100-M5-p921,1,25,25,25.7,0.0160419,0.028,0.019321836,25,25.2,13.04872,0.008,0.016865481
i5-n100-M5-p921,3,37,44,44.2,0.025757,0.194594595,0.011395595,38,40.4,17.68377,0.091891892,0.034186786
i5-n100-M5-p921,5,44,50,50.6,0.0293717,0.15,0.015891043,47,48.7,16.65074,0.106818182,0.021560984
i5-n100-c10-M5-p0,1,20,23,23,0.0127043,0.15,2.93E-17,21,21,13.4598,0.05,0
i5-n100-c10-M5-p0,3,30,32,32.2,0.0191979,0.073333333,0.021081851,30,30.8,17.07854,0.026666667,0.014054567
i5-n100-c10-M5-p0,5,37,38,38,0.0189683,0.027027027,0,37,37,18.19156,0,0
i5-n100-c10-M5-p30,1,20,22,22,0.0123474,0.1,0,20,21.6,14.28303,0.08,0.042163702
i5-n100-c10-M5-p30,3,30,34,34.1,0.0147896,0.136666667,0.010540926,30,31.1,16.80933,0.036666667,0.01892154
i5-n100-c10-M5-p30,5,36,41,42.1,0.0170014,0.169444444,0.020496244,38,39.5,16.16589,0.097222222,0.019641855
i5-n1000-M10-p138,5,363,370,373,4.3131449,0.027548209,0.005354409,363,367.9,799.3409,0.013498623,0.00773206
i5-n1000-M10-p138,10,443,448,451.9,4.4648048,0.020090293,0.003754695,443,446.3,748.0924,0.00744921,0.006209385
i5-n1000-c100-M10-p0,5,252,263,265.1,3.240765,0.051984127,0.003946147,252,255.1,951.3994,0.012301587,0.010490677
i5-n1000-c100-M10-p0,10,301,314,316.5,3.8935587,0.051495017,0.004763192,301,307,917.7128,0.019933555,0.010388518
i5-n1000-c100-M10-p30,5,278,286,287.2,3.7615847,0.033093525,0.004083786,278,282.4,854.548,0.015827338,0.008679598
i5-n1000-c100-M10-p30,10,336,344,346.5,4.0489074,0.03125,0.004910464,336,340.8,912.7436,0.014285714,0.007529233
i5-n5000-M2-p34,2,1170,1180,1182.9,19.8877449,0.011025641,0.001583697,1170,1176,2181.529,0.005128205,0.003015101
i5-n5000-c50-M2-p0,2,192,195,196.2,6.5137504,0.021875,0.005379144,192,193.9,3657.068,0.009895833,0.007936895
i5-n5000-c50-M2-p30,2,198,199,201.4,4.3048811,0.017171717,0.007967784,198,200,3025.464,0.01010101,0.006299087
