Type,n,M,k,Algorithm,Mean_AvgObj,SD_AvgObj,Min_AvgObj,Max_AvgObj,Mean_AvgGap,SD_AvgGap,Min_AvgGap,Max_AvgGap,CV_AvgGap
RandomC (pert=0),100,5,1,GA+ILP,20.2,0.447213595,20,21,0,0,0,0,
RandomC (pert=0),100,5,1,Greedy,21.72,0.756306816,21,23,0.075809524,0.04854738,0.019047619,0.15,0.64038629
RandomC (pert=0),100,5,1,VNS,20.94,0.134164079,20.7,21,0.037,0.021679483,0,0.05,0.585931983
RandomC (pert=0),100,5,3,GA+ILP,30.8,0.836660027,30,32,0,0,0,0,
RandomC (pert=0),100,5,3,Greedy,33.56,1.625730605,32.2,36.2,0.089282258,0.030816929,0.048387097,0.13125,0.345162962
RandomC (pert=0),100,5,3,VNS,32,1.471393897,30.8,34.1,0.038673387,0.026568051,0.003225806,0.065625,0.686985354
RandomC (pert=0),100,5,5,GA+ILP,37.8,0.836660027,37,39,0,0,0,0,
RandomC (pert=0),100,5,5,Greedy,38.84,0.909945053,38,40.2,0.027490973,0.001866787,0.026315789,0.030769231,0.067905463
RandomC (pert=0),100,5,5,VNS,38,1.088577053,37,39.7,0.005182916,0.007464061,0,0.017948718,1.440127821
RandomC (pert=0),1000,10,5,GA+ILP,263.62,1.237739876,261.7,264.7,0.053648194,0.00486577,0.049003984,0.059036145,0.090697748
RandomC (pert=0),1000,10,5,Greedy,264.58,1.084896308,263.1,266,0.057490494,0.005660148,0.051984127,0.064,0.098453627
RandomC (pert=0),1000,10,5,VNS,253.9,1.491643389,251.4,255.1,0.014791973,0.004170861,0.009638554,0.0192,0.281967878
RandomC (pert=0),1000,10,10,GA+ILP,313.98,2.601345806,309.7,316.2,0.043142101,0.009116817,0.032236842,0.054,0.211320648
RandomC (pert=0),1000,10,10,Greedy,314.82,2.454994908,310.9,317.2,0.045936412,0.009175668,0.034210526,0.057333333,0.199747155
